,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price
0,"""14042 Behrens Ave",['Norwalk'],90650,3.0,2.0,1330.0,0.123,1950.0,2.0,Single Family Residence,760000.0
1,"""14122 Longworth Ave",['Norwalk'],90650,3.0,2.0,1538.0,0.118,1950.0,2.0,Single Family Residence,785000.0
2,"""14622 Funston Ave",['Norwalk'],90650,3.0,1.0,1278.0,0.143,1948.0,2.0,Single Family Residence,750000.0
3,"""10620 Ohm Ave",['Norwalk'],90650,3.0,2.0,1200.0,0.13,1957.0,0.0,Single Family Residence,724000.0
4,"""15407 Crossdale",['Norwalk'],90650,3.0,1.0,1136.0,0.122,1955.0,2.0,Single Family Residence,680000.0
5,"""13418 Lancelot Ave",['Norwalk'],90650,3.0,2.0,1241.0,0.123,1956.0,2.0,Single Family Residence,600000.0
6,"""11504 Excelsior Dr",['Norwalk'],90650,3.0,2.0,1385.0,0.155,1949.0,2.0,Single Family Residence,760000.0
7,"""14415 Longworth Ave",['Norwalk'],90650,2.0,1.0,832.0,0.134,1948.0,3.0,Single Family Residence,675000.0
8,"""11134 Borson St",['Norwalk'],90650,3.0,2.0,1207.0,0.118,1955.0,2.0,Single Family Residence,739000.0
9,"""14614 Madris Ave",['Norwalk'],90650,2.0,1.0,752.0,0.141,1949.0,1.0,Single Family Residence,690000.0
10,"""13731 Lancelot Ave",['Norwalk'],90650,3.0,1.0,1266.0,0.137,1957.0,2.0,Single Family Residence,749900.0
11,"""12123 Ferina St",['Norwalk'],90650,2.0,1.0,750.0,0.133,1949.0,1.0,Single Family Residence,587900.0
12,"""12157 Lowemont St",['Norwalk'],90650,2.0,1.0,865.0,0.12,1952.0,1.0,Single Family Residence,615000.0
13,"""11562 Potter St",['Norwalk'],90650,4.0,1.0,1216.0,0.137,1947.0,2.0,Single Family Residence,859999.0
14,"""12621 Rexton St",['Norwalk'],90650,3.0,2.0,1909.0,0.112,1956.0,1.0,Single Family Residence,749900.0
15,"""14051 Halcourt Ave",['Norwalk'],90650,3.0,1.0,888.0,0.127,1950.0,2.0,Single Family Residence,599000.0
16,"""15503 Studebaker Rd",['Norwalk'],90650,5.0,2.0,1501.0,0.126,1951.0,2.0,Single Family Residence,749900.0
17,"""10626 Everest St",['Norwalk'],90650,3.0,2.0,1224.0,0.118,1951.0,2.0,Single Family Residence,750000.0
18,"""11731 Cardell St",['Norwalk'],90650,3.0,2.0,1111.0,0.115,1949.0,1.0,Single Family Residence,699900.0
19,"""14429 Devlin Ave",['Norwalk'],90650,3.0,2.0,1477.0,0.129,1939.0,2.0,Single Family Residence,629900.0
20,"""11508 Barnwall St",['Norwalk'],90650,3.0,2.0,1507.0,0.132,1949.0,0.0,Single Family Residence,759000.0
21,"""16332 Harvest Ave",['Norwalk'],90650,3.0,1.0,1537.0,0.115,1959.0,2.0,Single Family Residence,765000.0
22,"""16107 Horst Ave",['Norwalk'],90650,4.0,2.5,1472.0,0.13,1930.0,3.0,Single Family Residence,740000.0
23,"""11615 Everston St",['Norwalk'],90650,3.0,2.0,1095.0,0.131,1950.0,1.0,Single Family Residence,699000.0
24,"""12018 Hopland St",['Norwalk'],90650,2.0,1.0,740.0,0.06,1957.0,0.0,Single Family Residence,489000.0
25,"""11249 Crossdale Ave",['Norwalk'],90650,4.0,3.0,2172.0,0.125,1951.0,0.0,Single Family Residence,895000.0
26,"""11431 Studebaker Rd",['Norwalk'],90650,4.0,2.0,1724.0,0.148,1952.0,1.0,Single Family Residence,755000.0
27,"""12012 Cedarvale St",['Norwalk'],90650,4.0,2.0,1448.0,0.104,1908.0,0.0,Single Family Residence,750000.0
28,"""16224 Maidstone Ave",['Norwalk'],90650,4.0,2.0,1424.0,0.12,1959.0,2.0,Single Family Residence,759900.0
29,"""16332 Gridley Rd",['Norwalk'],90650,3.0,2.0,1247.0,0.115,1959.0,2.0,Single Family Residence,759900.0
30,"""14535 Lefloss Ave",['Norwalk'],90650,3.0,2.0,2086.0,0.126,1950.0,1.0,Single Family Residence,765000.0
0,"""9612 Beachy Ave",['Arleta'],91331,4.0,1.5,1850.0,0.407,1947.0,0.0,Single Family Residence,929000.0
1,"""9691 Elon Ave",['Arleta'],91331,3.0,1.5,1222.0,0.247,1952.0,2.0,Single Family Residence,799000.0
